date,DAH,treatment,tunnel ,firmness (kg),ln_firmness (kg),log10_firmness (kg),sqrt_firmness (kg)
09/06/2025,17,shaded,S1,0.305,-0.52,-0.52,0.55
09/06/2025,17,shaded,S1,0.291,-0.54,-0.54,0.54
09/06/2025,17,shaded,S1,0.317,-0.5,-0.5,0.56
09/06/2025,17,shaded,S1,0.288,-0.54,-0.54,0.54
09/06/2025,17,shaded,S1,0.406,-0.39,-0.39,0.64
09/06/2025,17,shaded,S1,0.273,-0.56,-0.56,0.52
09/06/2025,17,shaded,S1,0.266,-0.58,-0.58,0.52
09/06/2025,17,shaded,S1,0.275,-0.56,-0.56,0.52
09/06/2025,17,shaded,S1,0.285,-0.55,-0.55,0.53
09/06/2025,17,shaded,S1,0.301,-0.52,-0.52,0.55
09/06/2025,17,shaded,S1,0.267,-0.57,-0.57,0.52
09/06/2025,17,shaded,S1,0.293,-0.53,-0.53,0.54
09/06/2025,17,shaded,S1,0.333,-0.48,-0.48,0.58
09/06/2025,17,shaded,S1,0.452,-0.34,-0.34,0.67
09/06/2025,17,shaded,S1,0.319,-0.5,-0.5,0.56
09/06/2025,17,shaded,S1,0.265,-0.58,-0.58,0.51
09/06/2025,17,shaded,S1,0.305,-0.52,-0.52,0.55
09/06/2025,17,shaded,S1,0.249,-0.6,-0.6,0.5
09/06/2025,17,shaded,S1,0.374,-0.43,-0.43,0.61
09/06/2025,17,shaded,S1,0.33,-0.48,-0.48,0.57
09/06/2025,17,shaded,S1,0.383,-0.42,-0.42,0.62
09/06/2025,17,shaded,S1,0.301,-0.52,-0.52,0.55
09/06/2025,17,shaded,S1,0.579,-0.24,-0.24,0.76
09/06/2025,17,shaded,S1,0.419,-0.38,-0.38,0.65
09/06/2025,17,shaded,S1,0.373,-0.43,-0.43,0.61
09/06/2025,17,shaded,S1,0.4,-0.4,-0.4,0.63
09/06/2025,17,shaded,S2,0.267,-0.57,-0.57,0.52
09/06/2025,17,shaded,S2,0.313,-0.5,-0.5,0.56
09/06/2025,17,shaded,S2,0.282,-0.55,-0.55,0.53
09/06/2025,17,shaded,S2,0.315,-0.5,-0.5,0.56
09/06/2025,17,shaded,S2,0.247,-0.61,-0.61,0.5
09/06/2025,17,shaded,S2,0.336,-0.47,-0.47,0.58
09/06/2025,17,shaded,S2,0.299,-0.52,-0.52,0.55
09/06/2025,17,shaded,S2,0.325,-0.49,-0.49,0.57
09/06/2025,17,shaded,S2,0.291,-0.54,-0.54,0.54
09/06/2025,17,shaded,S2,0.406,-0.39,-0.39,0.64
09/06/2025,17,shaded,S2,0.309,-0.51,-0.51,0.56
09/06/2025,17,shaded,S2,0.329,-0.48,-0.48,0.57
09/06/2025,17,shaded,S2,0.282,-0.55,-0.55,0.53
09/06/2025,17,shaded,S2,0.505,-0.3,-0.3,0.71
09/06/2025,17,shaded,S2,0.369,-0.43,-0.43,0.61
09/06/2025,17,shaded,S2,0.387,-0.41,-0.41,0.62
09/06/2025,17,shaded,S2,0.272,-0.57,-0.57,0.52
09/06/2025,17,shaded,S2,0.31,-0.51,-0.51,0.56
09/06/2025,17,shaded,S2,0.332,-0.48,-0.48,0.58
09/06/2025,17,shaded,S2,0.28,-0.55,-0.55,0.53
09/06/2025,17,shaded,S2,0.322,-0.49,-0.49,0.57
09/06/2025,17,shaded,S2,0.431,-0.37,-0.37,0.66
09/06/2025,17,shaded,S2,0.268,-0.57,-0.57,0.52
09/06/2025,17,shaded,S2,0.271,-0.57,-0.57,0.52
09/06/2025,17,shaded,S2,0.327,-0.49,-0.49,0.57
09/06/2025,17,shaded,S2,0.388,-0.41,-0.41,0.62
09/06/2025,17,shaded,S2,0.288,-0.54,-0.54,0.54
09/06/2025,17,shaded,S2,0.344,-0.46,-0.46,0.59
09/06/2025,17,shaded,S2,0.292,-0.53,-0.53,0.54
09/06/2025,17,shaded,S2,0.299,-0.52,-0.52,0.55
09/06/2025,17,shaded,S2,0.303,-0.52,-0.52,0.55
09/06/2025,17,shaded,S2,0.314,-0.5,-0.5,0.56
09/06/2025,17,shaded,S2,0.247,-0.61,-0.61,0.5
09/06/2025,17,shaded,S2,0.343,-0.46,-0.46,0.59
09/06/2025,17,shaded,S2,0.23,-0.64,-0.64,0.48
09/06/2025,17,shaded,S2,0.221,-0.66,-0.66,0.47
09/06/2025,17,shaded,S2,0.349,-0.46,-0.46,0.59
09/06/2025,17,shaded,S2,0.246,-0.61,-0.61,0.5
09/06/2025,17,shaded,S2,0.274,-0.56,-0.56,0.52
09/06/2025,17,shaded,S2,0.295,-0.53,-0.53,0.54
09/06/2025,17,shaded,S2,0.336,-0.47,-0.47,0.58
09/06/2025,17,shaded,S2,0.254,-0.6,-0.6,0.5
09/06/2025,17,shaded,S2,0.29,-0.54,-0.54,0.54
09/06/2025,17,shaded,S2,0.385,-0.41,-0.41,0.62
09/06/2025,17,shaded,S2,0.348,-0.46,-0.46,0.59
09/06/2025,17,shaded,S2,0.338,-0.47,-0.47,0.58
09/06/2025,17,shaded,S2,0.322,-0.49,-0.49,0.57
09/06/2025,17,shaded,S2,0.305,-0.52,-0.52,0.55
09/06/2025,17,shaded,S2,0.274,-0.56,-0.56,0.52
09/06/2025,17,shaded,S2,0.342,-0.47,-0.47,0.58
09/06/2025,17,shaded,S3,0.431,-0.37,-0.37,0.66
09/06/2025,17,shaded,S3,0.315,-0.5,-0.5,0.56
09/06/2025,17,shaded,S3,0.4,-0.4,-0.4,0.63
09/06/2025,17,shaded,S3,0.272,-0.57,-0.57,0.52
09/06/2025,17,shaded,S3,0.334,-0.48,-0.48,0.58
09/06/2025,17,shaded,S3,0.262,-0.58,-0.58,0.51
09/06/2025,17,shaded,S3,0.354,-0.45,-0.45,0.59
09/06/2025,17,shaded,S3,0.266,-0.58,-0.58,0.52
09/06/2025,17,shaded,S3,0.377,-0.42,-0.42,0.61
09/06/2025,17,shaded,S3,0.226,-0.65,-0.65,0.48
09/06/2025,17,shaded,S3,0.258,-0.59,-0.59,0.51
09/06/2025,17,shaded,S3,0.525,-0.28,-0.28,0.72
09/06/2025,17,shaded,S3,0.38,-0.42,-0.42,0.62
09/06/2025,17,shaded,S3,0.275,-0.56,-0.56,0.52
09/06/2025,17,shaded,S3,0.308,-0.51,-0.51,0.55
09/06/2025,17,shaded,S3,0.412,-0.39,-0.39,0.64
09/06/2025,17,shaded,S3,0.335,-0.47,-0.47,0.58
09/06/2025,17,shaded,S3,0.24,-0.62,-0.62,0.49
09/06/2025,17,shaded,S3,0.289,-0.54,-0.54,0.54
09/06/2025,17,shaded,S3,0.253,-0.6,-0.6,0.5
09/06/2025,17,shaded,S3,0.317,-0.5,-0.5,0.56
09/06/2025,17,shaded,S3,0.254,-0.6,-0.6,0.5
09/06/2025,17,shaded,S3,0.307,-0.51,-0.51,0.55
09/06/2025,17,shaded,S3,0.269,-0.57,-0.57,0.52
09/06/2025,17,shaded,S3,0.276,-0.56,-0.56,0.53
09/06/2025,17,shaded,S3,0.22,-0.66,-0.66,0.47
09/06/2025,17,shaded,S3,0.267,-0.57,-0.57,0.52
09/06/2025,17,shaded,S3,0.264,-0.58,-0.58,0.51
09/06/2025,17,shaded,S3,0.241,-0.62,-0.62,0.49
09/06/2025,17,shaded,S3,0.245,-0.61,-0.61,0.49
09/06/2025,17,shaded,S3,0.355,-0.45,-0.45,0.6
09/06/2025,17,shaded,S3,0.643,-0.19,-0.19,0.8
09/06/2025,17,shaded,S3,0.221,-0.66,-0.66,0.47
09/06/2025,17,shaded,S3,0.343,-0.46,-0.46,0.59
09/06/2025,17,shaded,S3,0.417,-0.38,-0.38,0.65
09/06/2025,17,shaded,S3,0.299,-0.52,-0.52,0.55
09/06/2025,17,shaded,S3,0.293,-0.53,-0.53,0.54
09/06/2025,17,shaded,S3,0.329,-0.48,-0.48,0.57
09/06/2025,17,shaded,S3,0.26,-0.59,-0.59,0.51
09/06/2025,17,shaded,S3,0.361,-0.44,-0.44,0.6
09/06/2025,17,shaded,S3,0.305,-0.52,-0.52,0.55
09/06/2025,17,shaded,S3,0.311,-0.51,-0.51,0.56
09/06/2025,17,shaded,S3,0.251,-0.6,-0.6,0.5
09/06/2025,17,shaded,S3,0.298,-0.53,-0.53,0.55
